Entity,Code,Year,Hijacking incidents,Hijacking fatalities
World,OWID_WRL,1942,0,0
World,OWID_WRL,1943,0,0
World,OWID_WRL,1944,0,0
World,OWID_WRL,1945,0,0
World,OWID_WRL,1946,0,0
World,OWID_WRL,1947,0,0
World,OWID_WRL,1948,7,26
World,OWID_WRL,1949,7,1
World,OWID_WRL,1950,4,0
World,OWID_WRL,1951,1,0
World,OWID_WRL,1952,3,2
World,OWID_WRL,1953,1,0
World,OWID_WRL,1954,3,2
World,OWID_WRL,1955,0,0
World,OWID_WRL,1956,2,1
World,OWID_WRL,1957,0,0
World,OWID_WRL,1958,9,19
World,OWID_WRL,1959,6,1
World,OWID_WRL,1960,8,3
World,OWID_WRL,1961,12,3
World,OWID_WRL,1962,2,0
World,OWID_WRL,1963,1,0
World,OWID_WRL,1964,1,0
World,OWID_WRL,1965,5,1
World,OWID_WRL,1966,4,2
World,OWID_WRL,1967,5,1
World,OWID_WRL,1968,29,1
World,OWID_WRL,1969,86,5
World,OWID_WRL,1970,78,7
World,OWID_WRL,1971,54,8
World,OWID_WRL,1972,59,22
World,OWID_WRL,1973,22,87
World,OWID_WRL,1974,20,83
World,OWID_WRL,1975,20,2
World,OWID_WRL,1976,16,15
World,OWID_WRL,1977,32,114
World,OWID_WRL,1978,26,4
World,OWID_WRL,1979,25,0
World,OWID_WRL,1980,39,1
World,OWID_WRL,1981,30,6
World,OWID_WRL,1982,32,1
World,OWID_WRL,1983,34,11
World,OWID_WRL,1984,27,33
World,OWID_WRL,1985,25,65
World,OWID_WRL,1986,16,87
World,OWID_WRL,1987,13,2
World,OWID_WRL,1988,15,12
World,OWID_WRL,1989,15,1
World,OWID_WRL,1990,38,86
World,OWID_WRL,1991,20,6
World,OWID_WRL,1992,11,4
World,OWID_WRL,1993,36,4
World,OWID_WRL,1994,27,8
World,OWID_WRL,1995,12,1
World,OWID_WRL,1996,17,125
World,OWID_WRL,1997,12,1
World,OWID_WRL,1998,14,1
World,OWID_WRL,1999,13,2
World,OWID_WRL,2000,27,5
World,OWID_WRL,2001,11,268
World,OWID_WRL,2002,10,2
World,OWID_WRL,2003,9,0
World,OWID_WRL,2004,4,0
World,OWID_WRL,2005,1,0
World,OWID_WRL,2006,3,0
World,OWID_WRL,2007,6,0
World,OWID_WRL,2008,3,0
World,OWID_WRL,2009,5,0
World,OWID_WRL,2010,1,0
World,OWID_WRL,2011,1,0
World,OWID_WRL,2012,3,2
World,OWID_WRL,2013,1,0
World,OWID_WRL,2014,3,0
World,OWID_WRL,2015,0,0
World,OWID_WRL,2016,2,0
World,OWID_WRL,2017,0,0
World,OWID_WRL,2018,1,0
World,OWID_WRL,2019,4,1
World,OWID_WRL,2020,0,0
World,OWID_WRL,2021,3,0