Entity,Code,Year,Hijacking incidents,Fatal accidents from commercial airliners
World,OWID_WRL,1942,0,
World,OWID_WRL,1943,0,
World,OWID_WRL,1944,0,
World,OWID_WRL,1945,0,
World,OWID_WRL,1946,0,60
World,OWID_WRL,1947,0,73
World,OWID_WRL,1948,7,80
World,OWID_WRL,1949,7,72
World,OWID_WRL,1950,4,56
World,OWID_WRL,1951,1,60
World,OWID_WRL,1952,3,49
World,OWID_WRL,1953,1,61
World,OWID_WRL,1954,3,46
World,OWID_WRL,1955,0,56
World,OWID_WRL,1956,2,44
World,OWID_WRL,1957,0,56
World,OWID_WRL,1958,9,63
World,OWID_WRL,1959,6,61
World,OWID_WRL,1960,8,61
World,OWID_WRL,1961,12,50
World,OWID_WRL,1962,2,58
World,OWID_WRL,1963,1,47
World,OWID_WRL,1964,1,43
World,OWID_WRL,1965,5,50
World,OWID_WRL,1966,4,48
World,OWID_WRL,1967,5,51
World,OWID_WRL,1968,29,55
World,OWID_WRL,1969,86,66
World,OWID_WRL,1970,78,61
World,OWID_WRL,1971,54,47
World,OWID_WRL,1972,59,65
World,OWID_WRL,1973,22,61
World,OWID_WRL,1974,20,58
World,OWID_WRL,1975,20,44
World,OWID_WRL,1976,16,52
World,OWID_WRL,1977,32,52
World,OWID_WRL,1978,26,41
World,OWID_WRL,1979,25,55
World,OWID_WRL,1980,39,33
World,OWID_WRL,1981,30,38
World,OWID_WRL,1982,32,32
World,OWID_WRL,1983,34,32
World,OWID_WRL,1984,27,30
World,OWID_WRL,1985,25,39
World,OWID_WRL,1986,16,38
World,OWID_WRL,1987,13,43
World,OWID_WRL,1988,15,54
World,OWID_WRL,1989,15,54
World,OWID_WRL,1990,38,42
World,OWID_WRL,1991,20,49
World,OWID_WRL,1992,11,47
World,OWID_WRL,1993,36,43
World,OWID_WRL,1994,27,48
World,OWID_WRL,1995,12,49
World,OWID_WRL,1996,17,49
World,OWID_WRL,1997,12,37
World,OWID_WRL,1998,14,47
World,OWID_WRL,1999,13,44
World,OWID_WRL,2000,27,37
World,OWID_WRL,2001,11,36
World,OWID_WRL,2002,10,33
World,OWID_WRL,2003,9,26
World,OWID_WRL,2004,4,32
World,OWID_WRL,2005,1,34
World,OWID_WRL,2006,3,24
World,OWID_WRL,2007,6,30
World,OWID_WRL,2008,3,26
World,OWID_WRL,2009,5,23
World,OWID_WRL,2010,1,27
World,OWID_WRL,2011,1,32
World,OWID_WRL,2012,3,17
World,OWID_WRL,2013,1,23
World,OWID_WRL,2014,3,18
World,OWID_WRL,2015,0,10
World,OWID_WRL,2016,2,16
World,OWID_WRL,2017,0,10
World,OWID_WRL,2018,1,14
World,OWID_WRL,2019,4,20
World,OWID_WRL,2020,0,8
World,OWID_WRL,2021,3,11
World,OWID_WRL,2022,,14