Entity,Code,Year,Hijacking fatalities,Fatalities from commercial airliners
World,OWID_WRL,1942,0,
World,OWID_WRL,1943,0,
World,OWID_WRL,1944,0,
World,OWID_WRL,1945,0,
World,OWID_WRL,1946,0,770
World,OWID_WRL,1947,0,1043
World,OWID_WRL,1948,26,1238
World,OWID_WRL,1949,1,1110
World,OWID_WRL,1950,0,1064
World,OWID_WRL,1951,0,918
World,OWID_WRL,1952,2,723
World,OWID_WRL,1953,0,923
World,OWID_WRL,1954,2,681
World,OWID_WRL,1955,0,698
World,OWID_WRL,1956,1,799
World,OWID_WRL,1957,0,870
World,OWID_WRL,1958,19,1186
World,OWID_WRL,1959,1,1024
World,OWID_WRL,1960,3,1448
World,OWID_WRL,1961,3,1367
World,OWID_WRL,1962,0,1728
World,OWID_WRL,1963,0,1199
World,OWID_WRL,1964,0,1049
World,OWID_WRL,1965,1,1229
World,OWID_WRL,1966,2,1420
World,OWID_WRL,1967,1,1330
World,OWID_WRL,1968,1,1367
World,OWID_WRL,1969,5,1654
World,OWID_WRL,1970,7,1480
World,OWID_WRL,1971,8,1469
World,OWID_WRL,1972,22,2472
World,OWID_WRL,1973,87,2270
World,OWID_WRL,1974,83,2110
World,OWID_WRL,1975,2,1155
World,OWID_WRL,1976,15,1718
World,OWID_WRL,1977,114,1712
World,OWID_WRL,1978,4,1235
World,OWID_WRL,1979,0,1749
World,OWID_WRL,1980,1,1331
World,OWID_WRL,1981,6,861
World,OWID_WRL,1982,1,1142
World,OWID_WRL,1983,11,1346
World,OWID_WRL,1984,33,639
World,OWID_WRL,1985,65,2421
World,OWID_WRL,1986,87,897
World,OWID_WRL,1987,2,1316
World,OWID_WRL,1988,12,1710
World,OWID_WRL,1989,1,1772
World,OWID_WRL,1990,86,730
World,OWID_WRL,1991,6,1148
World,OWID_WRL,1992,4,1461
World,OWID_WRL,1993,4,1216
World,OWID_WRL,1994,8,1427
World,OWID_WRL,1995,1,1183
World,OWID_WRL,1996,125,1925
World,OWID_WRL,1997,1,1240
World,OWID_WRL,1998,1,1330
World,OWID_WRL,1999,2,690
World,OWID_WRL,2000,5,1139
World,OWID_WRL,2001,268,1125
World,OWID_WRL,2002,2,1071
World,OWID_WRL,2003,0,666
World,OWID_WRL,2004,0,541
World,OWID_WRL,2005,0,1056
World,OWID_WRL,2006,0,881
World,OWID_WRL,2007,0,772
World,OWID_WRL,2008,0,552
World,OWID_WRL,2009,0,725
World,OWID_WRL,2010,0,831
World,OWID_WRL,2011,0,511
World,OWID_WRL,2012,2,417
World,OWID_WRL,2013,0,256
World,OWID_WRL,2014,0,961
World,OWID_WRL,2015,0,537
World,OWID_WRL,2016,0,303
World,OWID_WRL,2017,0,44
World,OWID_WRL,2018,0,555
World,OWID_WRL,2019,1,285
World,OWID_WRL,2020,0,315
World,OWID_WRL,2021,0,123
World,OWID_WRL,2022,,225