Entity,Code,Year,Average (1 - never justifiable; 10 - always justifiable)
Andorra,AND,2018,1.124
Argentina,ARG,2017,1.6069247
Armenia,ARM,2021,1.2392026
Australia,AUS,2018,1.3219676
Bangladesh,BGD,2018,1.795
Bolivia,BOL,2017,1.923275
Brazil,BRA,2018,1.511256
Canada,CAN,2020,1.8454455
Chile,CHL,2018,2.0538619
China,CHN,2018,1.3248345
Colombia,COL,2018,1.7447368
Cyprus,CYP,2019,1.2520325
Czechia,CZE,2022,2.0066946
Ecuador,ECU,2018,2.079325
Egypt,EGY,2018,1.0941901
Ethiopia,ETH,2020,1.5028524
Germany,DEU,2018,1.1108197
Greece,GRC,2017,1.1427372
Guatemala,GTM,2020,2.0895522
Hong Kong,HKG,2018,2.0179439
Indonesia,IDN,2018,1.7254964
Iran,IRN,2020,1.6470588
Iraq,IRQ,2018,2.4625
Japan,JPN,2019,1.2076336
Jordan,JOR,2018,1.2767558
Kazakhstan,KAZ,2018,1.8286424
Kenya,KEN,2021,2.88
Kyrgyzstan,KGZ,2020,1.4817073
Lebanon,LBN,2018,1.8242677
Libya,LBY,2022,1.1247787
Macao,MAC,2019,2.7758112
Malaysia,MYS,2018,3.1043413
Maldives,MDV,2021,1.2160077
Mexico,MEX,2018,2.334701
Mongolia,MNG,2020,3.1825397
Morocco,MAR,2021,2.3458333
Myanmar,MMR,2020,1.5496247
Netherlands,NLD,2022,1.1929914
New Zealand,NZL,2020,1.1905698
Nicaragua,NIC,2020,1.9958333
Nigeria,NGA,2018,1.6610032
Pakistan,PAK,2018,1.6525555
Peru,PER,2018,1.6383137
Philippines,PHL,2019,4.176814
Puerto Rico,PRI,2018,1.3435252
Romania,ROU,2018,1.3234811
Russia,RUS,2017,1.8866214
Serbia,SRB,2017,3.0380762
Singapore,SGP,2020,1.3043479
Slovakia,SVK,2022,1.9466554
South Korea,KOR,2018,2.2554216
Taiwan,TWN,2019,1.3646771
Tajikistan,TJK,2020,2.2283332
Thailand,THA,2018,1.8546433
Tunisia,TUN,2019,1.3485857
Ukraine,UKR,2020,1.8216304
United Kingdom,GBR,2022,1.2445904
United States,USA,2017,1.5564202
Uruguay,URY,2022,1.6236012
Venezuela,VEN,2021,2.1067226
Vietnam,VNM,2020,3.095
Zimbabwe,ZWE,2020,1.776218