Entity,Code,Year,Great deal or Very much
Algeria,DZA,2014,74.083336
Andorra,AND,2018,49.9004
Argentina,ARG,2013,26.407766
Argentina,ARG,2017,39.680958
Armenia,ARM,2011,87.818184
Armenia,ARM,2021,89.942764
Australia,AUS,2012,34.123222
Australia,AUS,2018,54.054054
Azerbaijan,AZE,2011,79.94012
Bangladesh,BGD,2018,61.416668
Belarus,BLR,2011,62.86645
Bolivia,BOL,2017,64.58636
Brazil,BRA,2014,65.27591
Brazil,BRA,2018,52.383656
Canada,CAN,2020,26.5555
Chile,CHL,2012,40
Chile,CHL,2018,63.1
China,CHN,2013,38.130436
China,CHN,2018,62.483532
Colombia,COL,2012,89.88095
Colombia,COL,2018,66.57895
Cyprus,CYP,2011,49.4
Cyprus,CYP,2019,56.7
Czechia,CZE,2022,44.75
Ecuador,ECU,2013,74.12646
Ecuador,ECU,2018,73.06088
Egypt,EGY,2013,73.21077
Estonia,EST,2011,45.59687
Ethiopia,ETH,2020,90.243904
Georgia,GEO,2014,93.34443
Germany,DEU,2013,37.017117
Germany,DEU,2018,57.72251
Ghana,GHA,2012,81.50773
Greece,GRC,2017,40.083332
Guatemala,GTM,2020,47.599674
Haiti,HTI,2016,93.61154
Hong Kong,HKG,2014,36.2
Hong Kong,HKG,2018,31.036144
India,IND,2012,60.61795
Indonesia,IDN,2018,95.125
Iran,IRN,2020,45.697132
Iraq,IRQ,2013,80.583336
Iraq,IRQ,2018,84.333336
Japan,JPN,2010,79.73803
Japan,JPN,2019,80.118256
Jordan,JOR,2014,54
Jordan,JOR,2018,77.30673
Kazakhstan,KAZ,2011,75.86667
Kazakhstan,KAZ,2018,73.197495
Kenya,KEN,2021,77.96208
Kuwait,KWT,2014,62.547966
Kyrgyzstan,KGZ,2011,76
Kyrgyzstan,KGZ,2020,88.583336
Lebanon,LBN,2013,72.416664
Lebanon,LBN,2018,67.333336
Libya,LBY,2014,80.33787
Libya,LBY,2022,82.466446
Macao,MAC,2019,18.467583
Malaysia,MYS,2012,91.38461
Malaysia,MYS,2018,82.635185
Maldives,MDV,2021,80.14042
Mexico,MEX,2012,86.4
Mexico,MEX,2018,84.89374
Mongolia,MNG,2020,30.52503
Morocco,MAR,2011,50.083332
Morocco,MAR,2021,57.25
Myanmar,MMR,2020,98.083336
Netherlands,NLD,2012,10.515247
Netherlands,NLD,2022,23.9786
New Zealand,NZL,2011,22.35434
New Zealand,NZL,2020,33.00971
Nicaragua,NIC,2020,62.333332
Nigeria,NGA,2012,79.590675
Nigeria,NGA,2018,87.712204
Pakistan,PAK,2012,72.833336
Pakistan,PAK,2018,85.91479
Palestine,PSE,2013,51.6
Peru,PER,2012,83.05785
Peru,PER,2018,86
Philippines,PHL,2012,88.333336
Philippines,PHL,2019,93.166664
Poland,POL,2012,44.616978
Puerto Rico,PRI,2018,83.7622
Qatar,QAT,2010,83.01887
Romania,ROU,2012,57.751163
Romania,ROU,2018,58.79077
Russia,RUS,2011,77.56
Russia,RUS,2017,79.17127
Rwanda,RWA,2012,96.85658
Serbia,SRB,2017,64.53155
Singapore,SGP,2012,44.117645
Singapore,SGP,2020,56.11332
Slovakia,SVK,2022,47.833332
Slovenia,SVN,2011,34.14406
South Africa,ZAF,2013,46.27584
South Korea,KOR,2010,52.5
South Korea,KOR,2018,43.534138
Spain,ESP,2011,54.49958
Sweden,SWE,2011,22.553898
Taiwan,TWN,2012,57.10824
Taiwan,TWN,2019,66.23058
Tajikistan,TJK,2020,52.25
Thailand,THA,2013,54.833332
Thailand,THA,2018,46.666668
Trinidad and Tobago,TTO,2010,44.344345
Tunisia,TUN,2013,96.76349
Tunisia,TUN,2019,84.50704
Turkey,TUR,2011,68.97196
Turkey,TUR,2018,85.58409
Ukraine,UKR,2011,61.533333
Ukraine,UKR,2020,80.99302
United Kingdom,GBR,2022,47.156033
United States,USA,2011,52.867382
United States,USA,2017,64.4453
Uruguay,URY,2011,47
Uruguay,URY,2022,72.3
Uzbekistan,UZB,2011,42.933334
Venezuela,VEN,2021,60.2521
Vietnam,VNM,2020,75.333336
Yemen,YEM,2014,88.2
Zimbabwe,ZWE,2012,60.4
Zimbabwe,ZWE,2020,86.09054